id,text,label,sentiment
17327, Well there`s nothing to do but to keep swimming. You`ll get there eventually,1,neutral
6380, your right. im so jealous i wish i had gangsterrrr pants like your grandma,0,negative
11341," I know. I want it to come bec I`m excited, but then I don`t bec it`s gonna go by so fast & then it will be over",2,positive
6492,"Poor settings options. I tried to set a schedule for an entire day to be more productive. Kept getting emails for each task at the time I scheduled it. I also got notification pop-ups on my MacBook calendar app which seemed to sync itself with my Google calendar. I went to Google calendar to turn it off but it wouldn't let me. I had to delete all 10 emails, hide the notifications and now I will be uninstall this app. It should have an option to disable syncing. Nice idea. Lazy developers.",0,negative
12849, Wanna come with?  Before we go to Myka`s party.,1,neutral
12754,Woke up early! Still sick,0,negative
8547,"I wondered about arranging the main tasks and just found the solution! Just needed to scroll to the bottom while in tasks. I cannot say enough.about how very helpful this app is! I have found so many different uses for this app! I am wondering about the amount of information that can be stored, etc. What would an upgrade include and how much would it cost?",2,positive
11432,"Holy **** it`s super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park",0,negative
6236,No 1 evr brngs me a starbux!   *~CoRiEoGrApHy~*,1,neutral
24531,A Happy Mother`s Day to all moms and soon to be mom`s out there.,2,positive
7230, whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,2,positive
26225,I`ve gotten a cold every time I`ve flown somewhere 6+ hrs away in the past year.  Hope to be back in the pool/on the bike next week.,1,neutral
269, Hell Yeah!,1,neutral
11033,had fun at chel`s with nicole and cried watching benjamin button   exciting night i must say,1,neutral
211,just got up and updated my ipod,1,neutral
17209,_Lynn _raquel ahh man  ok if y`all end up doin sumthin else let me kno so I can meet y`all 2 see wht yal gone do..,1,neutral
10227, awww. its cool. i ate too much ice cream,2,positive
1344,not quite what i need. otherwise looks like a decent app,1,neutral
14318,"K, just finished my last 2 clients for the night. Going home alone  Thats ok I need to be alone, must find inner peace.",0,negative
13427," hahaha. I`m driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!",1,neutral
24789,absolutely gutted that i`m not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,0,negative
6781,"Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I`m sure",2,positive
10682,So tired,1,neutral
10230,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,negative
370, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,1,neutral
6562,Clive it`s my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,1,neutral
8451,I'd give this a five star if not for the backing up which prevents importing mismatched versions. Kinda redundant if we can't use the backup that we took two weeks prior.,2,positive
13764,would like a hug and a kiss from Eric. Long distances really really stink,0,negative
25547,Angus down 3-1 in first set     http://yfrog.com/10jsepj,1,neutral
7397,"Tried it out. The time function, which is 90% of the app IMHO, is clunky. The default ""end"" time is ""until next activity"", but then it automatically changes to the start time of the next activity and you can't change it back. Then, if you add a task that overlaps other start times, it deletes the other activities. I spent 15 minutes setting up a schedule and was frustrated to find that I had erased my entire afternoon schedule because I made a mistake when changing the end time of something mid-day. This app was, for me, ironically, a waste of time.",0,negative
445,Headed to verizon. Praying that pinkberry is going to make it.,2,positive
9412,Really help me to organize my schedule ❤,2,positive
19933," Ok, which album to start with? After listening to Frank Black for years I found out he used to play in #Pixies.",1,neutral
7337,"Limited unless you buy the full version. I spent time looking around trying to work with the app. A lot of things I tried wanted me to upgrade, which is why I found another.... I feel my review is fair. Sorry.",0,negative
7639,Yeah I think I touched something that had mikes germs on it because I have a sore throat now  dammit I knew I should have not gone there!,0,negative
1419,_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,1,neutral
3556,"I like the app and it works to improve my productivity, but the notifications almost never show up and the whitelist mode doesn't work sometimes. I wish there was a way to change the ground color for the day/week/month, and it's quite annoying that the flowers are as big as trees.",1,neutral
4035,"I have been using this app for years. I get really hooked on committing to longer focus times just to unlock the full potential of the trees offered (there are different aspects to the tree with different amounts of study time, ie less than 60mins, greater than 60mins, and a special one for 2 hours of focus, plus bushes). As someone with ADHD (and OCD, which may explain my obsession with this app), studying wouldn't be the same without Forest! 🌲",2,positive
8988,This is the earliest I`ve been up for ages! Body is crying to go back to sleep... Must resist! A shower should do the trick,1,neutral
9589,Please fix the widget. It doesn't automatically update the day. It always shows yesterdays' date. Constantly having to remove and install widget.,0,negative
7282,bruh I literally have no clue how this app works,0,negative
22259, ...i had a yay moment today  YAY hope you did too!,2,positive
2804,My poor little 7mth old was taken to hospital yesterday. We are syringe feeding him at home because he doesn`t want to drink.,0,negative
11646, have a Happy Trip!!,2,positive
5731,"Way to screw up a great app, Microsoft.",0,negative
8543,Easy to organize,2,positive
17665," Sims 2 owns my life lately! LOL I want to get Sims 3, but my computer can`t support it.",1,neutral
15011,"how is it, is it good?  _flora",1,neutral
15734,"  Thanks Sissy!!!!!!! Be sure to check ur Myspace tonight, It`s gonna be Something! Luv Ya!!!!",2,positive
2329, congrats! You`re the first person i`ve heard/read say that today,2,positive
14685, yayy!!! Im gonna see you today! I miss you!,1,neutral
4893,"Tired from work. I hate closing, eek. But all smiles today. Aloha Kitchen, yum.",1,neutral
14918,"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",1,neutral
4204,"The last update was more than a year ago and things started to stop working. The company that owns it seems to be a scam. It was a great app, I paid for it and got no support",0,negative
3871,"Amazing app! I just wish that non-premium members could have an account so we could save our forests that we've already planted over the years, the trees we bought, and the coins we have/had.",2,positive
5674,"No replacement for Wunderlist, tasks are only getting added on the bottom of the list... Completely useless... Update: Still not fixed even so many people complain.",0,negative
9047,"really cant be bothered going to work tonigh, its too nice to be stuck inside",2,positive
23581,In Seattle Washington....im SOOOOO hungry&i miss alaska,0,negative
9232,Watched Wolverine yesterday ... a spur of the moment kinda thing. Awesome! So proud that a South African director did that,2,positive
6577,17 Again was actually quite good considering...off to bed now. Long day tomorrow. June 12th...please come soon (but not too soon),2,positive
1818,  i love you mooorrreeee,2,positive
5311,My moms calling hospice 4 great gpa  its only a matter of time only God knows.,1,neutral
13492," Good morning! Aww, sorry that you were stuck in the airport for 12 hours!!",1,neutral
25440, Right on! Pull up a chair and welcome,2,positive
21303,_ They were some nice Pics you have kept  there.. you seem to carry your Cam around along with you..,2,positive
4578,"Just changed phone. Didn't keep anything from my Premium account. Can't even create a new account without erasing current data... -2* for that inconvenience /// Has helped me tremendously develop new habits. UI is perfect! The app and widgets allow quick and easy habit tracking. Counting habits are useful, but it would be great to be able to see near misses in order to track improvement better. Customization of the interval chosen to calculate percentages would be very helpful.",1,neutral
3484," Thanks, glad you agree wth my follow or not policy",2,positive
15812,Frustrated with copying 13Gigs across USB 1.1.Stupid old servers,0,negative
6494,"Great Concept but executed poorly. I added 2 events between 6.30am and 9.30 but when I tried adding one for 10.30am it would let me, saying it overlapped with another event which it did not. I even checked my calendar and nothing was there for that time. It's now 11.42am, I tried adding an event for 3.30pm and it said its saved but hasn't showed on the clock or anything so it's pretty useless at this point.",0,negative
23724,"like spirits in the night ooooh night, quï¿½ grande ere mr. springsteen",2,positive
7222,bogus app. update isnt working. i was using the same app in past in the same device it was working properly. now i hv updated and its not giving any notification and even status bar is showing the past activities not current.,0,negative
5522,"  cool, i saw it now in the link thanks",2,positive
12696,&&the night continues!  w/ my fav mazie; kristina; ericka && robin!,1,neutral
5234,Excellent and detailed beyond average love it!!!,2,positive
9899,wishes all you moms a happy & blessed Mother`s Day!,2,positive
14852,i need to write really bad. can someone go get my diary from my flat for me,0,negative
26872, i dont get one? fine! i say texting is way more meaningful than twittering,2,positive
27302,"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",0,negative
